iter	Passed	Remaining
0	1	120
1	2	111
2	3	113
3	14	347
4	15	294
5	16	257
6	17	231
7	18	212
8	19	197
9	20	184
10	21	173
11	22	165
12	23	157
13	24	150
14	25	144
15	26	138
16	27	133
17	28	129
18	29	125
19	30	122
20	31	119
21	32	116
22	33	113
23	34	110
24	35	107
25	36	105
26	38	102
27	39	100
28	40	98
29	41	95
30	42	93
31	43	91
32	44	89
33	45	88
34	46	86
35	47	84
36	48	83
37	49	81
38	51	79
39	52	78
40	53	76
41	53	74
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	61
51	64	59
52	65	58
53	66	57
54	67	55
55	68	54
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	85	35
71	87	33
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	100	17
85	101	16
86	103	15
87	103	14
88	105	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	113	1
99	114	0
